Kachelname,filename,url,Koordinatenursprung_East,Koordinatenursprung_North
dop10rgbi_32_362_5639_1_nw_2025,dop10rgbi_32_362_5639_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_362_5639_1_nw_2025/dop10rgbi_32_362_5639_1_nw_2025.jp2,362000,5639000
dop10rgbi_32_362_5640_1_nw_2025,dop10rgbi_32_362_5640_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_362_5640_1_nw_2025/dop10rgbi_32_362_5640_1_nw_2025.jp2,362000,5640000
dop10rgbi_32_367_5638_1_nw_2025,dop10rgbi_32_367_5638_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_367_5638_1_nw_2025/dop10rgbi_32_367_5638_1_nw_2025.jp2,367000,5638000
dop10rgbi_32_349_5659_1_nw_2023,dop10rgbi_32_349_5659_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_349_5659_1_nw_2023/dop10rgbi_32_349_5659_1_nw_2023.jp2,349000,5659000
dop10rgbi_32_350_5659_1_nw_2023,dop10rgbi_32_350_5659_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_350_5659_1_nw_2023/dop10rgbi_32_350_5659_1_nw_2023.jp2,350000,5659000
dop10rgbi_32_350_5660_1_nw_2023,dop10rgbi_32_350_5660_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_350_5660_1_nw_2023/dop10rgbi_32_350_5660_1_nw_2023.jp2,350000,5660000
dop10rgbi_32_349_5660_1_nw_2025,dop10rgbi_32_349_5660_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_349_5660_1_nw_2025/dop10rgbi_32_349_5660_1_nw_2025.jp2,349000,5660000
dop10rgbi_32_355_5658_1_nw_2023,dop10rgbi_32_355_5658_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_355_5658_1_nw_2023/dop10rgbi_32_355_5658_1_nw_2023.jp2,355000,5658000
dop10rgbi_32_361_5657_1_nw_2023,dop10rgbi_32_361_5657_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_361_5657_1_nw_2023/dop10rgbi_32_361_5657_1_nw_2023.jp2,361000,5657000
dop10rgbi_32_366_5656_1_nw_2023,dop10rgbi_32_366_5656_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_366_5656_1_nw_2023/dop10rgbi_32_366_5656_1_nw_2023.jp2,366000,5656000
dop10rgbi_32_346_5633_1_nw_2025,dop10rgbi_32_346_5633_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_346_5633_1_nw_2025/dop10rgbi_32_346_5633_1_nw_2025.jp2,346000,5633000
dop10rgbi_32_351_5649_1_nw_2025,dop10rgbi_32_351_5649_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_351_5649_1_nw_2025/dop10rgbi_32_351_5649_1_nw_2025.jp2,351000,5649000
dop10rgbi_32_351_5650_1_nw_2025,dop10rgbi_32_351_5650_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_351_5650_1_nw_2025/dop10rgbi_32_351_5650_1_nw_2025.jp2,351000,5650000
dop10rgbi_32_356_5648_1_nw_2025,dop10rgbi_32_356_5648_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_356_5648_1_nw_2025/dop10rgbi_32_356_5648_1_nw_2025.jp2,356000,5648000
dop10rgbi_32_362_5647_1_nw_2025,dop10rgbi_32_362_5647_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_362_5647_1_nw_2025/dop10rgbi_32_362_5647_1_nw_2025.jp2,362000,5647000
dop10rgbi_32_367_5646_1_nw_2025,dop10rgbi_32_367_5646_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_367_5646_1_nw_2025/dop10rgbi_32_367_5646_1_nw_2025.jp2,367000,5646000
dop10rgbi_32_346_5641_1_nw_2025,dop10rgbi_32_346_5641_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_346_5641_1_nw_2025/dop10rgbi_32_346_5641_1_nw_2025.jp2,346000,5641000
dop10rgbi_32_352_5639_1_nw_2025,dop10rgbi_32_352_5639_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_352_5639_1_nw_2025/dop10rgbi_32_352_5639_1_nw_2025.jp2,352000,5639000
dop10rgbi_32_352_5640_1_nw_2025,dop10rgbi_32_352_5640_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_352_5640_1_nw_2025/dop10rgbi_32_352_5640_1_nw_2025.jp2,352000,5640000
dop10rgbi_32_357_5638_1_nw_2025,dop10rgbi_32_357_5638_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_357_5638_1_nw_2025/dop10rgbi_32_357_5638_1_nw_2025.jp2,357000,5638000
dop10rgbi_32_363_5637_1_nw_2025,dop10rgbi_32_363_5637_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_363_5637_1_nw_2025/dop10rgbi_32_363_5637_1_nw_2025.jp2,363000,5637000
dop10rgbi_32_368_5636_1_nw_2025,dop10rgbi_32_368_5636_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_368_5636_1_nw_2025/dop10rgbi_32_368_5636_1_nw_2025.jp2,368000,5636000
dop10rgbi_32_351_5657_1_nw_2023,dop10rgbi_32_351_5657_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_351_5657_1_nw_2023/dop10rgbi_32_351_5657_1_nw_2023.jp2,351000,5657000
dop10rgbi_32_356_5656_1_nw_2023,dop10rgbi_32_356_5656_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_356_5656_1_nw_2023/dop10rgbi_32_356_5656_1_nw_2023.jp2,356000,5656000
dop10rgbi_32_362_5655_1_nw_2023,dop10rgbi_32_362_5655_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_362_5655_1_nw_2023/dop10rgbi_32_362_5655_1_nw_2023.jp2,362000,5655000
dop10rgbi_32_367_5654_1_nw_2023,dop10rgbi_32_367_5654_1_nw_2023.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_367_5654_1_nw_2023/dop10rgbi_32_367_5654_1_nw_2023.jp2,367000,5654000
dop10rgbi_32_346_5648_1_nw_2025,dop10rgbi_32_346_5648_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_346_5648_1_nw_2025/dop10rgbi_32_346_5648_1_nw_2025.jp2,346000,5648000
dop10rgbi_32_352_5647_1_nw_2025,dop10rgbi_32_352_5647_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_352_5647_1_nw_2025/dop10rgbi_32_352_5647_1_nw_2025.jp2,352000,5647000
dop10rgbi_32_357_5646_1_nw_2025,dop10rgbi_32_357_5646_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_357_5646_1_nw_2025/dop10rgbi_32_357_5646_1_nw_2025.jp2,357000,5646000
dop10rgbi_32_363_5645_1_nw_2025,dop10rgbi_32_363_5645_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_363_5645_1_nw_2025/dop10rgbi_32_363_5645_1_nw_2025.jp2,363000,5645000
dop10rgbi_32_368_5644_1_nw_2025,dop10rgbi_32_368_5644_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_368_5644_1_nw_2025/dop10rgbi_32_368_5644_1_nw_2025.jp2,368000,5644000
dop10rgbi_32_347_5638_1_nw_2025,dop10rgbi_32_347_5638_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_347_5638_1_nw_2025/dop10rgbi_32_347_5638_1_nw_2025.jp2,347000,5638000
dop10rgbi_32_353_5637_1_nw_2025,dop10rgbi_32_353_5637_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_353_5637_1_nw_2025/dop10rgbi_32_353_5637_1_nw_2025.jp2,353000,5637000
dop10rgbi_32_358_5636_1_nw_2025,dop10rgbi_32_358_5636_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_358_5636_1_nw_2025/dop10rgbi_32_358_5636_1_nw_2025.jp2,358000,5636000
